Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2015,Unprovoked,USA,Boogie boarding,F,9,N
2015,Unprovoked,USA,Surfing,M,25,N
2015,Unprovoked,MOZAMBIQUE,Fishing,M,NA,N
2015,Unprovoked,AUSTRALIA,Surfing,M,18,N
2015,Unprovoked,USA,Body boarding,M,22,N
2015,Unprovoked,USA,Wading,M,13,N
2015,Unprovoked,USA,Surfing,M,14,N
2015,Unprovoked,USA,Surfing,M,22,N
2015,Unprovoked,AUSTRALIA,Snorkeling,F,7,N
2015,Boating,USA,Kayak fishing,M,NA,N
2015,Unprovoked,USA,Surfing,M,14,N
2015,Unprovoked,USA,Spearfishing,M,27,N
2015,Unprovoked,USA,Wading,M,12,N
2015,Unprovoked,USA,Photographing fish,M,16,N
2015,Boating,USA,Kayak Fishing,M,NA,N
2015,Unprovoked,USA,Swimming,M,NA,N
2015,Unprovoked,USA,Surfing,M,20,N
2015,Unprovoked,AUSTRALIA,Surfing,M,42,N
2015,Unprovoked,USA,Stand-Up Paddleboarding,F,50,N
2015,Provoked,USA,Kayak Fishing,M,29,N
2015,Unprovoked,AUSTRALIA,Surf-skiing,M,62,N
2015,Unprovoked,USA,NA,M,NA,N
2015,Unprovoked,THAILAND,Wading,F,37,N
2015,Unprovoked,FIJI,Spearfishing,M,NA,N
2015,Unprovoked,USA,Surfing,F,54,N
2015,Unprovoked,USA,Surfing,M,21,N
2015,Invalid,USA,NA,M,NA,NA
2015,Unprovoked,AUSTRALIA,Surfing,M,38,N
2015,Unprovoked,USA,Surfing,M,15,N
2015,Unprovoked,USA,Walking,F,10,N
2015,Boating,USA,Kayak Fishing,M,22,N
2015,Invalid,SPAIN,Swimming,M,10,NA
2015,Provoked,USA,Spearfishing,M,57,N
2015,Unprovoked,AUSTRALIA,Surfing,M,52,N
2015,Unprovoked,COSTA RICA,Surfing,M,47,N
2015,NA,AUSTRALIA,Surfing,M,40,NA
2015,Unprovoked,USA,Surfing,M,25,N
2015,Invalid,USA,Floating,F,35,NA
2015,Unprovoked,AUSTRALIA,Scallop diving on hookah,M,46,Y
2015,Provoked,USA,Kayak Fishing,M,31,N
2015,Unprovoked,AUSTRALIA,Surfing,M,40,N
2015,Unprovoked,REUNION,Surfing,M,45,N
2015,Unprovoked,SOUTH AFRICA,Surfing,M,34,N
2015,Unprovoked,USA,Surfing,M,38,N
2015,Invalid,USA,Treading water,M,39,NA
2015,Invalid,FRENCH POLYNESIA,Swimming,M,NA,NA
2015,Unprovoked,BAHAMAS,Spearfishing,F,23,N
